latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.40798,119.93751,350.33,0.47,0.4,2025-08-04,543,N20,VIIRS,n,2,304.16,7.13,D,0.0
-3.76879,139.37849,334.73,0.4,0.37,2025-08-04,403,N20,VIIRS,n,2,297.95,3.72,D,0.0
-9.39717,119.9108,334.74,0.47,0.4,2025-08-04,543,N20,VIIRS,n,2,304.69,2.17,D,0.0
-9.14285,124.79909,329.46,0.32,0.54,2025-08-04,543,N20,VIIRS,n,2,297.03,1.59,D,0.0
-9.90207,120.05457,336.64,0.47,0.4,2025-08-04,543,N20,VIIRS,n,2,297.18,3.77,D,0.0
-9.90498,119.82887,331.92,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,296.91,8.6,D,0.0
-9.90569,119.82444,332.07,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,302.58,8.6,D,0.0
-9.90211,119.8237,337.81,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.9,8.6,D,0.0
-8.99764,125.09322,367.0,0.34,0.56,2025-08-04,543,N20,VIIRS,h,2,296.41,10.25,D,0.0
-9.87852,119.9233,334.9,0.47,0.39,2025-08-04,543,N20,VIIRS,n,2,301.45,3.59,D,0.0
-9.8749,119.92274,342.6,0.47,0.39,2025-08-04,543,N20,VIIRS,n,2,300.36,7.94,D,0.0
-9.92852,120.6139,330.51,0.5,0.41,2025-08-04,543,N20,VIIRS,n,2,298.89,3.37,D,0.0
-9.87386,119.88351,334.76,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,302.56,2.41,D,0.0
-9.8157,120.14684,345.1,0.48,0.4,2025-08-04,543,N20,VIIRS,n,2,302.64,10.2,D,0.0
-9.85736,119.82567,332.62,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.02,1.33,D,0.0
-9.82964,119.78239,337.99,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,298.78,4.03,D,0.0
-9.79941,119.85526,337.87,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.03,7.62,D,0.0
-9.80012,119.85088,331.83,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.98,7.62,D,0.0
-9.78472,119.90012,335.42,0.47,0.39,2025-08-04,543,N20,VIIRS,n,2,297.2,3.2,D,0.0
